Здравствуйте, данную лабораторную работу выполнил Ахметзянов Дамир Альбертович, группа 1309
Версия: 3.0
Начало: 10.10.2021
Конец: -
Формула: 9.10
n    i
__  2 * i!     i
\  ________ * x
/_   i^i
i=1
X: 1.1
eps:1e-30
n = 677
An = 1.05237e-30
Сумма = 33.7925236
              i |              Fi |               S |
            502 |  9.61038683e-23 |      33.7925236 | 
            503 |  7.90882099e-23 |      33.7925236 | 
            504 |  7.78574545e-23 |      33.7925236 | 
            505 |  6.40722866e-23 |      33.7925236 | 
            506 |  6.30750825e-23 |      33.7925236 | 
            507 |  5.19071282e-23 |      33.7925236 | 
            508 |  5.10991602e-23 |      33.7925236 | 
            509 |  4.20515585e-23 |      33.7925236 | 
            510 |  4.13969189e-23 |      33.7925236 | 
            511 |  3.40671277e-23 |      33.7925236 | 
            512 |  3.35367219e-23 |      33.7925236 | 
            513 |  2.75986146e-23 |      33.7925236 | 
            514 |  2.71688683e-23 |      33.7925236 | 
            515 |  2.23582289e-23 |      33.7925236 | 
            516 |  2.20100408e-23 |      33.7925236 | 
            517 |  1.81128121e-23 |      33.7925236 | 
            518 |  1.78307052e-23 |      33.7925236 | 
            519 |  1.46734672e-23 |      33.7925236 | 
            520 |  1.44449012e-23 |      33.7925236 | 
            521 |  1.18871571e-23 |      33.7925236 | 
            522 |  1.17019714e-23 |      33.7925236 | 
            523 |  9.62989741e-24 |      33.7925236 | 
            524 |  9.47985946e-24 |      33.7925236 | 
            525 |  7.80124174e-24 |      33.7925236 | 
            526 |  7.67968111e-24 |      33.7925236 | 
            527 |  6.31981317e-24 |      33.7925236 | 
            528 |  6.22132529e-24 |      33.7925236 | 
            529 |  5.11968433e-24 |      33.7925236 | 
            530 |  5.03989024e-24 |      33.7925236 | 
            531 |  4.14744447e-24 |      33.7925236 | 
            532 |  4.08279622e-24 |      33.7925236 | 
            533 |  3.35982332e-24 |      33.7925236 | 
            534 |  3.30744629e-24 |      33.7925236 | 
            535 |  2.72176594e-24 |      33.7925236 | 
            536 |  2.67933105e-24 |      33.7925236 | 
            537 |  2.20487308e-24 |      33.7925236 | 
            538 |  2.17049328e-24 |      33.7925236 | 
            539 |  1.78613761e-24 |      33.7925236 | 
            540 |  1.75828397e-24 |      33.7925236 | 
            541 |  1.44692074e-24 |      33.7925236 | 
            542 |  1.42435454e-24 |      33.7925236 | 
            543 |  1.17212273e-24 |      33.7925236 | 
            544 |  1.15384033e-24 |      33.7925236 | 
